rank,user_id,num_tests,action_history_length,time_per_test_seconds,total_test_time_seconds,exploration_time_seconds,total_round_time_seconds,user_object_identification,ground_truth_objects,object_identification_correct,rule_inference_text,rule_choice,ground_truth_rule,rule_choice_correct
15,67758b914f06b14a31669644,4,11,"[5.979, 5.229, 15.319, 11.855]",38.382,38.383,118.349,"[1, 3]","[1, 3]",True,Only even number objects turn it on,disjunctive,disjunctive,True
16,5f76586f6ce6850f223a25ab,4,14,"[5.915, 8.539, 2.664, 5.482]",22.6,22.601,76.595,"[2, 3]","[2, 3]",True,If it has Object 3 and/or 4 on it.,disjunctive,disjunctive,True
17,5ecb0bb39b4189656f60872b,5,16,"[3.377, 3.163, 4.967, 7.097, 8.008]",26.612,26.612,94.089,"[0, 1]","[0, 1]",True,Either Object 1 or Object 2 must be used.,disjunctive,disjunctive,True
18,5e92917cb554e90d387a37da,5,17,"[5.875, 3.969, 4.213, 5.449, 2.666]",22.172,22.172,114.531,"[1, 2]","[1, 2]",True,If Object 2 and/or Object 3 are on the platform,disjunctive,disjunctive,True
19,60fcc292d13ae9614d4a77a7,5,15,"[5.962, 5.857, 4.43, 4.435, 9.973]",30.657,30.657,84.753,"[1, 3]","[1, 3]",True,"When the machine had a Nexiom on it, it turned on.",disjunctive,disjunctive,True
20,672cb8ccdb8232e7fee580ed,5,21,"[4.157, 5.935, 4.536, 5.288, 16.632]",36.548,36.547,112.305,"[0, 2]","[0, 2]",True,Every other button,disjunctive,disjunctive,True
21,61522983a596d0aa25117787,5,13,"[11.129, 5.487, 4.147, 6.401, 8.182]",35.346,35.345,136.518,"[2, 3]","[2, 3]",True,"I am not sure there is a specific rule, I just know that both objects which are Nexioms need to be placed on the machine",disjunctive,disjunctive,True
22,63614a372fef8174fe8363f1,5,15,"[7.064, 7.131, 8.069, 3.813, 6.552]",32.629,32.629,103.497,"[2, 3]","[2, 3]",True,"I don't know, they just do?",disjunctive,disjunctive,True
23,66ae0709d8dd8981a2d6ee04,6,20,"[66.906, 3.558, 3.437, 1.084, 6.913, 18.74]",100.638,100.637,190.871,"[1, 3]","[1, 3]",True,Even-numbered objects power the Nexiom machine (?),disjunctive,disjunctive,True
24,66ee186efc9a208ef9446a30,6,20,"[6.395, 6.614, 4.681, 3.873, 3.012, 4.559]",29.134,29.132,211.613,"[0, 1]","[0, 1]",True,The machine turns on if the object placed on it is numbered two or less.,disjunctive,disjunctive,True
25,6452945d35a44481f5757a6c,6,17,"[8.187, 4.679, 7.921, 9.782, 10.027, 14.881]",55.477,55.477,148.052,"[0, 2]","[0, 2]",True,It's turned on by odd numbers,disjunctive,disjunctive,True
26,67c0af3cdbc67c93008f0616,6,22,"[8.59, 8.716, 36.951, 3.201, 2.821, 4.294]",64.573,64.572,173.361,"[1, 3]","[1, 3]",True,"Seems like if at least one nexiom is on the machine, the machine turns on. (Didn't check for multiple non-nexioms or multiple nexioms oops :S)",disjunctive,disjunctive,True
27,610329975d39376c37360d3c,6,22,"[3.697, 4.74, 3.589, 3.187, 6.262, 5.352]",26.827,26.828,68.577,"[1, 3]","[1, 3]",True,I think anything with Object 2 or 4 will turn it on,disjunctive,disjunctive,True
28,5d439cb393066e001a5a4d26,6,19,"[92.972, 10.595, 6.42, 8.043, 22.131, 13.659]",153.82,153.819,234.11,"[2, 3]","[2, 3]",True,The nexiom machine switches on whenever a Nexiom is placed on the platform.,disjunctive,disjunctive,True
29,609916ce82bc0800c9196cde,6,23,"[10.879, 10.429, 8.584, 6.453, 12.929, 5.517]",54.791,54.791,116.086,"[0, 2]","[0, 2]",True,"If one or three are on the machine, they turn on. it does not have to be both of them.",disjunctive,disjunctive,True
30,60fd05fdd8f4081c41972a1b,6,18,"[29.023, 9.494, 4.515, 4.091, 6.907, 4.471]",58.501,58.501,205.271,"[0, 3]","[0, 3]",True,The machine turns on if 1 and/or 4 are options,disjunctive,disjunctive,True
31,60ff33eea57872b7188f12e2,6,20,"[5.284, 8.221, 3.38, 3.819, 4.657, 10.181]",35.542,35.543,91.329,"[0, 2]","[0, 2]",True,The odd numbers turn on the machine and the even numbers don't.,disjunctive,disjunctive,True
32,6234e9c483c8aa1f1c5f046a,6,16,"[8.619, 4.15, 13.598, 3.928, 3.864, 6.919]",41.078,41.078,139.587,"[0, 3]","[0, 3]",True,Objects 1 and 4 turn the object on,disjunctive,disjunctive,True
33,6684bbcfad6facc374fd6523,7,21,"[6.173, 5.37, 6.407, 3.827, 4.947, 21.463, 9.743]",57.93,57.93,176.336,"[0, 2]","[0, 2]",True,Object 1 and/or object 3 are Nexioms and can be placed separately or together to turn the machine on,disjunctive,disjunctive,True
34,665a8db299aa3f8fb8ff8c4d,7,25,"[8.037, 5.144, 3.946, 3.74, 3.618, 3.097, 6.107]",33.689,33.689,130.131,"[2, 3]","[2, 3]",True,"If either object 3 or 4 is on the platform, the machine will turn on.  Objects 1 and 2 do not have an effect on the machine.",disjunctive,disjunctive,True
35,63b6ef9027eb90f292852ee4,7,23,"[8.119, 6.29, 6.793, 3.879, 6.373, 29.677, 4.928]",66.059,66.059,124.292,"[0, 2]","[0, 2]",True,Object 1 or Object 3 will turn it on.,disjunctive,disjunctive,True
36,65da5ea53cf757c346ee5b18,7,29,"[8.545, 9.559, 12.282, 16.118, 8.582, 12.982, 14.544]",82.612,82.613,169.13,"[1, 2]","[1, 2]",True,Machine will turn on in Objects 2 or 3 are present,disjunctive,disjunctive,True
37,628eab48a8c8dc1ecec338dd,7,18,"[8.402, 13.765, 5.854, 9.787, 12.391, 3.524, 7.226]",60.949,60.949,129.408,"[0, 1]","[0, 1]",True,"When either object 1 or object 2 is added, the machine turns on",disjunctive,disjunctive,True
38,56e32190e414dc000c8b40ae,7,23,"[31.399, 12.035, 11.065, 6.998, 8.383, 7.085, 7.99]",84.955,84.955,181.033,"[1, 2]","[1, 2]",True,If at least one Nexiom is selected the machine will turn on.,disjunctive,disjunctive,True
39,5c452213a6c3df0001d2014f,8,26,"[14.393, 3.534, 4.68, 3.809, 5.494, 6.578, 10.469, 0.933]",49.89,49.891,183.712,"[0, 1]","[0, 1]",True,"If object 1 or 2 is on the platform, the Nexiom machine will turn on. Both can be placed at the same time or individually, and the Nexiom machine will turn on.",disjunctive,disjunctive,True
40,66311cdfdc6a541751ee782a,8,30,"[14.183, 8.632, 8.018, 9.726, 4.733, 6.618, 16.658, 9.529]",78.097,78.097,150.663,"[0, 1]","[0, 1]",True,"If at least one Nexiom is placed on the machine, the machine will turn on.",disjunctive,disjunctive,True
41,58380cb9f1faf8000129673a,10,37,"[23.539, 7.081, 7.074, 3.548, 11.611, 16.635, 13.23, 4.756, 21.034, 25.756]",134.264,134.264,300.518,"[0, 1]","[0, 1]",True,The machine will turn on if it has at least one Nexiom on the machine.,disjunctive,disjunctive,True
42,6618650ff8e368f495675c9f,11,36,"[26.188, 9.32, 3.65, 4.01, 5.065, 4.597, 9.721, 3.161, 12.558, 4.48, 8.982]",91.732,91.73,209.146,"[1, 3]","[1, 3]",True,The machine turns on if 2 or 4 are on the machine,disjunctive,disjunctive,True
43,655fd05c12d38751dfa91559,11,39,"[7.193, 3.704, 2.752, 2.85, 2.964, 4.713, 6.984, 4.95, 17.403, 7.877, 7.17]",68.56,68.562,257.405,"[2, 3]","[2, 3]",True,"Nexioms will power the machine. If there are other objects with it, it will still be powered. I have tested at most three other objects sitting with a Nexiom object and the machine will stay powered.",disjunctive,disjunctive,True
44,611098e0196fa40fa49f3aeb,12,40,"[80.331, 5.247, 3.904, 3.027, 6.78, 5.998, 3.189, 2.167, 2.207, 2.822, 2.664, 3.73]",122.066,122.067,197.037,"[0, 3]","[0, 3]",True,All that matters is that at least one object that can power the machine is placed on the machine.,disjunctive,disjunctive,True
45,63b6ffb02943686f4f354741,12,40,"[8.744, 5.313, 4.935, 3.447, 6.985, 5.043, 4.213, 10.073, 8.618, 7.314, 7.11, 5.538]",77.333,77.332,147.968,"[0, 2]","[0, 2]",True,At least object 1 or 3 needs to be on the platform in order for this machine to turn on.,disjunctive,disjunctive,True
46,677816a3469477f7f02c31c8,12,39,"[27.68, 3.29, 3.402, 3.395, 5.09, 4.924, 7.833, 7.501, 13.88, 24.659, 6.139, 5.038]",112.831,112.829,188.396,"[2, 3]","[2, 3]",True,The Nexiom machine will only turn on if objects 3 or 4 are placed on the machine.,disjunctive,disjunctive,True
47,60a1e1f4a3707c983a98f185,16,53,"[4.688, 3.76, 3.669, 3.149, 5.879, 6.342, 5.565, 5.294, 4.766, 3.056, 2.82, 3.099, 6.389, 3.155, 3.096, 3.083]",67.81,67.811,106.08,"[1, 3]","[1, 3]",True,The machine switches on when you choose an object that's a Nexiom.,disjunctive,disjunctive,True
48,678557116f825dad357b623c,16,41,"[5.832, 7.829, 6.389, 4.944, 5.748, 7.624, 3.969, 4.347, 3.602, 9.55, 6.794, 4.201, 0.602, 0.922, 0.398, 0.289]",73.04,73.04,140.364,"[0, 3]","[0, 3]",True,The objects turn on the nexiom machine if one or more of the nexioms are selected,disjunctive,disjunctive,True
